product_name,brand,category,servings_per_pkg,carbs_g,sodium_mg,caffeine_mg,price_usd,price_per_serving,url
GU Energy Organic Waffle - Wild Berries Gluten-Free / Single Serving,GU Energy,waffle,1,23.0,150.0,,1.99,1.99,https://thefeed.com/products/gu-energy-waffle?variant=25810388296
Clif Bar Nut Butter Bars - Peanut Butter / Single Serving,Clif Bar,bar,12,40,160,0,2.49,0.208,https://thefeed.com/products/clif-nut-butter-filled-bars?variant=25810392200
UCAN Energy Powder Drink Mix - Unflavored / 28 Servings,UCAN,drink_mix,12,27,0,0,69.95,5.829,https://thefeed.com/products/ucan-energy-powder-drink-mix?variant=25810546952
GU Roctane Energy & Hydration Drink Mix - Tropical Fruit (with caffeine) / Single Serving,GU Energy,drink_mix,1,60.0,320.0,1.0,4.4,4.4,https://thefeed.com/products/gu-roctane-ultra-endurance?variant=25810793544
GU Roctane Energy Gel - Cherry Lime (with caffeine) / Single Serving,GU Energy,gel,24,21,125,35.0,3.25,0.135,https://thefeed.com/products/gu-roctane-gel?variant=25810937608
GU Drink Tabs - Orange / 12 Tablets,GU Energy,drink_mix,1,0,200,0,8.0,8.0,https://thefeed.com/products/gu-brew-hydration-tablets?variant=25810939080
Clif Kid ZBar - Iced Oatmeal Cookie / Single Serving,Clif Bar,bar,18,24,80,0,1.25,0.069,https://thefeed.com/products/clif-z-bar?variant=25810940232
Clif Luna Bar - Lemon Zest / Single Serving,Clif Bar,bar,15,26,120,0,1.79,0.119,https://thefeed.com/products/clif-luna-bar?variant=25810942792
Clif Builder's Protein Bar - Chocolate / Single Serving,Clif Bar,bar,12,30,260,0,2.49,0.208,https://thefeed.com/products/clif-builder-bar?variant=25810944392
GU Energy Gel - Caramel Macchiato (with Caffeine) / Single Serving,GU Energy,gel,1,22.0,60.0,1.0,2.2,2.2,https://thefeed.com/products/gu-energy-gel?variant=25810956808
Clif Bloks Energy Chews - Black Cherry (with Caffeine) / Single Packet,Clif Bar,chew,1,8.0,,1.0,3.29,3.29,https://thefeed.com/products/clif-bloks-energy-chews?variant=27072869832
CLIF Bar - Chocolate Chip / Single Serving,Clif Bar,bar,6,44,160,0,1.99,0.332,https://thefeed.com/products/clif-bar?variant=27074540232
Maurten Drink Mix - Single Serving / Drink Mix 320,Maurten,drink_mix,1,80.0,,,4.2,4.2,https://thefeed.com/products/maurten-drink-mix?variant=44976028424
Maurten Gel 100 - Single Serving,Maurten,gel,1,25,20,0,4.0,4.0,https://thefeed.com/products/maurten-gel-100?variant=12802630910015
SiS GO Isotonic Energy Gels - Apple / Single Serving,Science in Sport,gel,6,22,90,0,2.33,0.388,https://thefeed.com/products/science-in-sport-energy-gel?variant=13174351495231
SiS GO Energy + Electrolyte Gel - Raspberry / Single Serving,Science in Sport,gel,6,22,120,0,2.83,0.472,https://thefeed.com/products/science-in-sport-go-energy-gel?variant=13174419587135
Maurten GEL 100 CAF 100 - Single Serving,Maurten,gel,1,25,20,0,4.8,4.8,https://thefeed.com/products/maurten-gel-100-caf-100?variant=30223844769855
GU Energy Liquid Energy - Coffee (with caffeine) / Single Serving,GU Energy,gel,12,19,75,40.0,2.75,0.229,https://thefeed.com/products/gu-energy-liquid-energy?variant=32996801413183
UCAN Energy Bars - Chocolate Fudge / Single Serving,UCAN,bar,12,30,75,0,2.79,0.233,https://thefeed.com/products/ucan-snack-bars?variant=33065205203007
Maurten Drink Mix 320 CAF 100 - Single Serving,Maurten,drink_mix,1,80,,100.0,4.5,4.5,https://thefeed.com/products/maurten-drink-mix-caffeinated-320?variant=33157673517119
SiS Beta Fuel Gel - Orange / Single Serving,Science in Sport,gel,1,40.0,,,3.67,3.67,https://thefeed.com/products/sis-beta-fuel-gel-1?variant=39394948710463
SiS Beta Fuel Drink Mix - Orange / Single Serving,Science in Sport,drink_mix,1,80,300,0,3.87,3.87,https://thefeed.com/products/sis-beta-fuel-drink-mix?variant=39394962997311
