club_name,city,state,website,contact_email,facebook,instagram,strava,member_count,membership_fee_usd,usat_member,profile_url,score,notes
Columbia Multisport Club,Columbia,Missouri,http://www.columbiamultisport.com,treasurer@columbiamultisport.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,25,Yes,https://www.trifind.com/Clubs/ClubDetails?id=303,14,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Off-Road, Short Course | Contact: Paula Rawlings"
Greenville Triathlon Club,Greenville,South Carolina,https://www.gvltri.org,info@gvltri.org,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,25,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6805,14,"Disciplines: Aquabike, Aquathlon, Duathlon, Off Road, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Off-Road, Women Specific | Contact: Carlton Sink"
Greenville Triathlon Club - High School Program (Disbanded),Greenville,South Carolina,https://www.gvltri.org,info@gvltri.org,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,25,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7626,14,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: High School/Collegiate | Contact: Cindy Lucking"
Greenville Triathlon Club - Youth (U14) Program,Greenville,South Carolina,https://www.gvltri.org,info@gvltri.org,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,25,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7627,14,"Disciplines: Aquabike, Aquathlon, Duathlon, Triathlon | Specialties: Beginners, Short Course, Youth and Junior | Contact: Cindy Lucking"
Team Ironheads,Portland,Oregon,https://www.teamironheads.com,ironheads@teamironheads.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,,75,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6883,14,"Disciplines: Aquathlon, Duathlon, Non-Traditional Event, Off Road, Triathlon, Winter Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Off-Road, Short Course | Contact: Anthony Sabia"
LA Tri Club,Santa Monica,California,http://www.latriclub.com,paul@latriclub.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,1800,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=43,11,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Paratriathlon, Triathlon, Winter Triathlon | Specialties: Beginners, Clydesdale/Athena, Draft Legal, Long Course, Off-Road, Paratriathlon, Short Course, Women Specific, Youth and Junior | Contact: Paul Hekimian"
LA Tri Club - Youth Team,Santa Monica,California,https://latriclub.com,paul@latriclub.com,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,1800,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7426,11,Disciplines: Triathlon | Specialties: High School/Collegiate | Contact: Paul Hekimian
The Triathlon Club of Monterey,Monterey,California,https://www.ttcmonterey.com,trotterrp@live.com,https://facebook.com/ttcmonterey,https://www.instagram.com/usatriathlon/,https://strava.com/clubs/271315,,40,Yes,https://www.trifind.com/Clubs/ClubDetails?id=6674,11,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Off Road, Triathlon | Specialties: Beginners, Youth and Junior | Contact: Thom Trotter"
Triathlon Club of San Diego,San Diego,California,http://www.triclubsandiego.org,info@triclubsandiego.org,https://www.facebook.com/USATriathlon/;,https://www.instagram.com/usatriathlon/,,1800,,Yes,https://www.trifind.com/Clubs/ClubDetails?id=63,11,"Disciplines: Aquabike, Aquathlon, Duathlon, Non-Traditional Event, Triathlon | Specialties: Beginners, Clydesdale/Athena, Long Course, Short Course | Contact: Anthony Chan"
Above the Mean Triathlon Club,Sacramento,California,https://www.abovethemeantriathlon.com/,taramaffeo@abovethemeantriathlon.com,https://facebook.com/2008,https://instagram.com/abovethemeancoaching,,,100,Yes,https://www.trifind.com/Clubs/ClubDetails?id=7894,10,"Disciplines: Duathlon, Triathlon | Specialties: Beginners, Long Course, Short Course | Contact: Tara Maffeo"
